Tiempo;Letra
00:03;Con un beso llegó la calma
00:06;Con un beso se fue el dolor
00:09;De esos besos que ganan guerras a tu favoooooooooooooor
00:15;#ESPACIO
00:18;Unos besos salen del alma
00:21;Y otros besos del corazón
00:25;Y la magia es que yo en tu boca encontré los dos
00:30;Con un beso llegó la calma
00:33;Con un beso se fue el dolor
00:36;De esos besos que ganan guerras a tu favoooooooooooooor
00:42;#ESPACIO
00:45;Unos besos salen del alma
00:47;Y otros besos del corazón
00:50;Y la magia es que yo en tu boca encontré los dos
00:53;Pero un beso que no esperaba
00:56;El que todo lo terminó
00:59;Hizo mal cuando te callaba
01:00;Y me robó una explicación
01:05;Y hoy me hace falta tu voz
01:08;Cuando llega el frío
01:12;Vivo en el vacío que tú dejaste al decir adiós
01:15;Y hoy me hace falta tu voz
01:20;Me sobra tu olvido
01:21;Y sentirme vivo con otros besos le pido a Dios
01:25;Unos besos salen del alma
01:30;Y otros besos del corazón
01:35;Y la magia es que yo en tu boca con mi boca vi los dos
01:37;Con un beso llegó la calma
01:40;Con un beso dijiste adiós